date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2016-10-13,6880256,2325312,2600,896,2356,804,1587,402,0.0030231433248995385,0.001041821699657687,0.0081055789502656,0.002766080422756172,0.0018452801756213722,4.6742446792677483e-4,0,485,0,0,235225
2016-10-14,6301320,2038136,1869,669,1691,582,1099,270,0.0023728361676601094,0.00084934585134543235,0.00663743734471105,0.0022844402925025612,0.0013952632146915249,3.427853211708023e-4,0,486,0,0,236196
2016-10-15,6017456,2063080,5829,1017,5558,939,4762,590,0.007749454254422467,0.0013520663881879651,0.021552242278535007,0.0036411578804505886,0.006330914592478948,7.843846303155353e-4,0,487,0,0,237169
2016-10-16,6777344,2151888,2276,624,2107,567,1555,268,0.002686598171791191,7.365717307547027e-4,0.007833121426393938,0.0021079163971359106,0.0018355273098134017,3.1634811513182745e-4,0,488,0,0,238144
2016-10-17,6910880,2104176,1827,653,1747,632,1124,305,0.0021149260296807353,7.55909522376311e-4,0.006642029944263218,0.0024028408270030644,0.0013011367582710161,3.5306646910378996e-4,0,489,0,0,239121
2016-10-18,6584000,2083208,1192,417,1090,391,583,135,0.001448359659781288,5.066828675577157e-4,0.004185851820845542,0.001501530332064777,7.083839611178616e-4,1.6403402187120292e-4,0,490,0,0,240100
2016-10-19,5726960,1974536,1995,817,1878,786,1179,509,0.0027868188358221467,0.0011412686660985934,0.007608876211930297,0.00318454563502514,0.0016469470713956446,7.110229510944724e-4,0,491,0,0,241081
2016-10-20,12062856,4751080,4657,501,4393,474,3901,185,0.0030884891604442597,3.322596240890217e-4,0.007397054985392794,7.981343189338003e-4,0.002587115356429688,1.2269067955383037e-4,0,492,0,0,242064
2016-10-21,2668264,1316280,199,27,187,20,153,10,5.966426110759655e-4,8.095151004548276e-5,0.001136536299267633,1.2155468441365059e-4,4.5872522359106894e-4,2.9982040757586205e-5,0,493,0,0,243049
2016-10-22,1653616,752448,634,304,621,296,465,211,0.0030672175402269935,0.0014707162968911765,0.0066024496044909415,0.003147061325167985,0.0022496153883368327,0.0010207932192238102,0,494,0,0,244036
